Id,SalePrice
1461,123246.42882946607
1462,159885.98015120917
1463,191121.89997776505
1464,187176.94628811168
1465,198745.43095309834
1466,182370.742968771
1467,168799.01859574724
1468,164249.4133326187
1469,190185.15785007854
1470,122885.40791565544
1471,204682.95802071996
1472,94516.56543350013
1473,98180.74802164317
1474,141551.56920954783
1475,120657.84631233705
1476,398299.68978560733
1477,274073.16536788305
1478,321490.7365916727
1479,356509.1966804726
1480,463307.08319511515
1481,326270.1899251304
1482,213878.8724272791
1483,159177.41371286122
1484,175848.24755112012
1485,172215.35407565095
1486,207543.42759871218
1487,333914.9495141918
1488,234726.272005833
1489,205116.6168585717
1490,232110.90304816375
1491,184448.71278314447
1492,88966.70107099912
1493,217984.54698061966
1494,297112.83147759165
1495,265409.6267690457
1496,228161.3271851603
1497,164171.91860708542
1498,155577.3123122029
1499,157396.5565177214
1500,155213.7451400909
1501,165213.81100957165
1502,146845.02968067862
1503,301470.45110963157
1504,229212.50619933585
1505,220284.354082054
1506,184669.09958643216
1507,244697.43822881408
1508,214868.73884772847
1509,172498.20516343266
1510,156642.73147130432
1511,147515.35306921593
1512,154182.7695345141
1513,156517.127764703
1514,156556.0174020976
1515,196206.96779787506
1516,151964.54059644538
1517,154119.38966850817
1518,121732.81842143509
1519,225098.77484310642
1520,138984.19455036134
1521,140266.32931057567
1522,160312.76958797066
1523,110169.43754842825
1524,124614.87694361317
1525,121189.1431376406
1526,130217.1693135888
1527,100169.6492763108
1528,126114.24886482443
1529,146712.93584406885
1530,153573.11024995052
1531,121009.18046701312
1532,94023.48606598262
1533,135083.56028580954
1534,127179.34793768014
1535,166443.54287965226
1536,117618.30916660414
1537,83581.83614318722
1538,156111.5360808638
1539,192388.88308207016
1540,116373.43195679465
1541,139017.77273409144
1542,134130.51173819066
1543,193481.80283886738
1544,73625.75711971098
1545,107971.30276842334
1546,128918.36602852237
1547,145176.81402737656
1548,129909.90889726277
1549,114982.61092992919
1550,136934.26798409654
1551,113443.78748229273
1552,158055.26197648168
